Project,Approach,fold,model_index,author_experience,author_merge_ratio,author_changes_per_week,author_merge_ratio_in_project,total_change_num,author_review_num,description_length,is_documentation,is_bug_fixing,is_feature,project_changes_per_week,project_merge_ratio,changes_per_author,num_of_reviewers,num_of_bot_reviewers,avg_reviewer_experience,avg_reviewer_review_count,lines_added,lines_deleted,files_added,files_deleted,files_modified,num_of_directory,modify_entropy,subsystem_num
Eclipse,NSGA2_LR_AUC_average_churn_recall,1,277,390.8587279,71.01875547,297.7705222,20.8093396,221.535167,533.3568352,29.80276149,105.5562514,361.5913501,386.7863872,32.33818273,101.206025,318.0349868,472.590246,71.20346336,254.1995259,274.7850324,342.5232187,160.1313138,510.7088693,607.5081759,186.5108042,124.9539737,25.86812664,112.7521938
Eclipse,NSGA2_LR_AUC_average_churn_recall,2,363.5,470.4151757,323.1491898,108.9272929,231.5505567,234.7208984,582.8433142,48.31583561,22.72269019,386.5695131,394.984892,136.6456304,190.7383596,1029.311718,396.635542,65.77479572,488.6753111,2359.6862,2038.06609,2093.956318,1629.287288,1053.003715,340.1715562,118.4135672,40.94478948,162.0732727
Eclipse,NSGA2_LR_AUC_average_churn_recall,3,361,170.1760919,126.0628107,189.6294181,293.6584962,164.6337879,437.1075373,34.79928828,41.71446742,275.9548114,321.5321078,63.04433674,30.49048022,420.6212038,1819.052717,12.30713955,497.6533688,967.7493524,1650.407769,1552.661489,427.2469587,274.6060049,369.3654296,78.71261554,133.3043995,49.05280726
Eclipse,NSGA2_LR_AUC_average_churn_recall,4,399.5,208.0312172,123.4847453,303.5814331,553.8788459,39.28134899,242.8682703,40.9818807,14.16097386,192.0593711,263.8067267,181.4553744,158.320526,568.1984414,1457.012662,292.4953899,75.13464697,102.5933509,1728.296495,1307.529354,492.2466491,219.9622404,255.6393016,90.39118823,81.29794002,61.00355777
Eclipse,NSGA2_LR_AUC_average_churn_recall,5,395.5,456.8238702,305.8110196,382.5645,253.0596523,118.1619272,1520.740252,42.53696629,125.3270263,82.19003881,50.77722527,272.2025922,15.11423222,488.4443297,345.3109432,14.97879683,551.4075589,312.8788882,1268.97637,1216.450796,1146.713871,215.2864276,313.5239031,209.0225898,54.83073551,56.89411291
Eclipse,NSGA2_LR_AUC_average_churn_recall,6,215.5,11.83877285,2.638503891,17.31582146,226.096585,7.861071825,318.4535029,2.966153348,41.59494199,159.664376,167.2068576,65.69363832,60.1161052,303.9750662,295.6917705,13.49323768,63.92444463,112.1373822,1148.977924,973.5207446,109.0422587,8.614040271,42.16009497,22.56082956,11.77013142,6.650320101
Eclipse,NSGA2_LR_AUC_average_churn_recall,7,399.5,120.9407999,109.4091357,661.643564,405.58212,99.97198512,332.8028849,53.83674909,32.41988087,103.7331671,169.9502476,325.466525,18.67363177,300.2950506,511.3418313,20.40697747,182.4487399,431.3876655,1594.199934,1053.908396,106.0456105,217.2061737,93.68630071,82.63237305,75.43574444,37.37878923
Eclipse,NSGA2_LR_AUC_average_churn_recall,8,332,7.596185387,125.7043654,55.0542258,77.78003452,132.91878,439.9130845,2.463090634,37.87761395,79.51290542,80.09274783,187.5898186,22.5236594,195.7565147,538.8889681,5.575883476,293.1632313,167.1098025,1148.189057,1156.276653,219.5013982,31.81341399,289.0221108,60.4213046,14.03257117,5.354214796
Eclipse,NSGA2_LR_AUC_average_churn_recall,9,399.5,15.58250018,390.9735665,60.7220789,162.5714695,31.25989434,462.4385365,26.13971769,126.331909,199.4255878,163.2635267,114.7039743,26.12644875,316.0590292,1007.276789,0.434649912,22.67811271,748.1952297,1077.50209,1103.842308,448.7315807,69.30386075,206.0002295,66.22090115,5.816589387,14.183776
Eclipse,NSGA2_LR_AUC_average_churn_recall,10,399.5,241.6521409,78.41522669,274.4221552,86.77600947,383.3715826,686.133878,53.10210213,5.295042833,190.8453184,211.3721952,180.7586129,16.89013761,230.6885211,699.1981383,4.595733151,160.7626929,780.4436201,1040.565704,1066.142431,578.2733255,261.1610387,411.8530441,84.54156799,31.8550566,47.70498592
Gerrithub,NSGA2_LR_AUC_average_churn_recall,1,221,216.9977382,388.0536905,760.1067302,192.5430417,140.3217827,86.22890492,82.57143994,83.60474471,114.2347912,315.3152875,231.9937347,322.5078378,757.9922317,933.6381709,438.5683979,1376.233012,190.5987338,81.39690414,157.4488705,1042.426733,1199.593419,792.151447,334.4460877,82.61610189,156.8978548
Gerrithub,NSGA2_LR_AUC_average_churn_recall,2,290.5,274.1439677,174.2124405,1442.32411,117.1150633,375.8331025,293.9403987,120.4232635,14.80730922,220.1373212,324.1883377,691.8352823,1248.140198,125.7347015,166.6471902,84.34306235,452.0547882,1163.58286,259.8486261,109.129183,1208.387618,1021.651295,738.8982375,146.9571176,129.1347409,9.592567177
Gerrithub,NSGA2_LR_AUC_average_churn_recall,3,397,379.604334,220.351299,953.92293,180.680745,203.2124992,192.5050921,48.87917118,42.0416548,48.55298715,183.2838567,693.8182075,271.7591709,204.2392909,938.5302829,31.43644799,954.0785035,837.797949,91.12624358,160.5996923,1056.087909,793.9279873,819.060528,713.2186629,432.6805609,133.806195
Gerrithub,NSGA2_LR_AUC_average_churn_recall,4,341.5,115.9203585,7.751568225,251.4843362,36.67328654,132.08113,21.42232156,10.32296113,107.039049,309.7025409,388.2717537,69.86670741,64.31084195,6.042696544,321.0915174,71.19964186,201.7098774,309.7501977,1546.798905,102.1023316,1611.295474,162.8491869,247.162234,6.267914817,102.4769622,35.7314201
Gerrithub,NSGA2_LR_AUC_average_churn_recall,5,398.5,247.9062099,474.6369041,591.3654777,215.9868867,224.2716505,144.3075018,39.31216643,58.26602157,62.49394615,349.5704323,89.15566291,169.0382872,48.95660489,516.7432168,68.60994916,308.9400198,1024.96251,1434.095208,88.08093356,1446.806434,780.5335441,404.703801,195.0581199,160.2129363,88.61060656
Gerrithub,NSGA2_LR_AUC_average_churn_recall,6,396.5,28.20348594,114.1097008,161.5242524,49.65355481,109.0035752,101.1678756,86.62682459,101.2937544,235.2190654,320.7316242,247.8394339,36.13971225,333.2493234,729.2251344,87.10883453,160.540529,49.48029203,1347.662749,1336.511044,1329.766029,239.5014876,148.8836479,55.87316101,36.27037435,69.2860951
Gerrithub,NSGA2_LR_AUC_average_churn_recall,7,399.5,275.3785302,148.4672879,149.7959847,51.62954061,127.496213,108.2365031,43.21521023,31.01782653,130.01297,146.6142597,399.1820126,432.8008395,186.580858,1561.599977,48.03435998,413.0237891,288.8798296,1247.329876,1233.826146,1228.752696,1080.30123,231.7396596,59.1363331,81.55131771,124.3425456
Gerrithub,NSGA2_LR_AUC_average_churn_recall,8,399.5,110.8567971,180.7287358,223.8104959,66.5840776,183.3828829,35.3154468,143.6418063,45.87754001,16.70370338,125.5341705,696.3016129,425.7522366,602.2219126,596.2388883,132.3026129,464.036622,961.3675805,1169.877031,1180.637864,1141.576309,668.5167222,395.1314978,44.0959819,52.07099912,104.012464
Gerrithub,NSGA2_LR_AUC_average_churn_recall,9,399.5,221.4597905,75.73547669,571.0282797,55.69422008,46.97688958,51.08018364,86.40937946,70.95530987,199.7510704,299.8704423,328.9602095,188.9909372,144.3928682,428.7528866,31.06349847,321.8803193,1243.272815,1093.743458,1091.051713,970.2428306,308.8149776,228.8016409,31.25398485,35.9034842,3.295149535
Gerrithub,NSGA2_LR_AUC_average_churn_recall,10,399.5,88.92698376,67.64001047,264.9643947,108.5483003,357.555924,59.10378562,49.45478097,24.5345841,30.02708041,125.4711853,477.9454201,294.726786,22.16951283,757.5412777,18.77319265,655.5790297,757.3034377,1047.030814,1038.378574,1034.961494,538.5508591,182.9028092,31.68879493,38.87127479,5.298766092
Libreoffice,NSGA2_LR_AUC_average_churn_recall,1,310,147.8128972,66.08559866,40.45722673,78.32386571,32.74577991,15.14931822,14.07716366,75.18637754,75.60833214,90.8083278,398.4347039,48.12499647,69.35990384,940.3775073,207.231785,303.6997484,1487.961443,1078.314314,684.8879149,77.53159607,722.5523667,1789.018502,254.0825892,62.85740512,6.280829602
Libreoffice,NSGA2_LR_AUC_average_churn_recall,2,399.5,191.4130308,249.6962548,59.69358948,171.615534,54.05975823,73.95696006,86.2848072,39.37185376,28.68883472,48.62218675,111.1489917,16.67845473,43.58378483,1035.341782,8.847745925,409.9233845,532.7665696,805.8674186,492.8265152,392.0289444,384.8071528,693.9219418,67.86857241,21.8275831,108.4572519
Libreoffice,NSGA2_LR_AUC_average_churn_recall,3,399.5,358.8548613,181.1574853,38.87729883,218.5790538,72.95661215,21.11533197,40.0241967,52.67640362,88.15513531,102.0446879,83.24982017,23.08006359,42.63279821,513.5004683,18.28105312,351.8530614,299.2608278,794.5949815,567.5401627,54.20152725,255.7590023,634.1882862,33.36246007,23.86006381,41.42702734
Libreoffice,NSGA2_LR_AUC_average_churn_recall,4,399.5,598.7779236,83.50280472,60.27540112,168.9059393,29.8217091,155.008329,1.260053052,128.224404,193.2148265,263.2847723,276.8801557,43.30482788,168.5372656,572.6490623,41.09375263,601.0015325,704.870944,1033.704619,768.2694132,339.2393924,930.2903695,956.7121343,220.5820785,49.01088481,30.47155758
Libreoffice,NSGA2_LR_AUC_average_churn_recall,5,399.5,332.6929642,186.9326336,271.5005069,179.6425798,39.20336684,226.8653755,6.675713765,110.7039139,177.2131699,270.1650182,342.491102,30.77094734,278.0384937,901.9549888,11.2908424,905.6678233,2749.086654,1034.616944,692.876076,657.4044594,1048.262702,633.7800383,37.43341757,23.45880922,137.3321302
Libreoffice,NSGA2_LR_AUC_average_churn_recall,6,399.5,35.54755147,135.9417887,27.60763015,93.76068591,392.4256879,61.09154405,2.655469796,111.178288,205.195353,224.2233235,19.26474235,3.758677952,7.462935899,285.3919118,8.776078753,131.613455,207.3565186,841.4070762,524.6556058,116.7032578,348.5996401,171.3954018,26.07668488,9.111993911,24.47347225
Libreoffice,NSGA2_LR_AUC_average_churn_recall,7,302.5,24.92044716,50.03494359,27.65451593,30.86827751,46.76820318,80.50925479,10.0354842,97.21019191,168.7839285,187.2643648,20.1945571,7.324439187,3.351559255,448.1150813,143.2088046,254.3816501,82.49822566,658.5992385,707.7392085,192.4799695,338.958546,230.9895867,10.79625577,18.83824428,9.30365728
Libreoffice,NSGA2_LR_AUC_average_churn_recall,8,399.5,18.62860019,10.9027145,4.915921892,5.965889269,6.253957821,9.965575114,1.41082477,152.1588792,272.8422202,302.1978148,68.64343667,9.083598184,74.390997,16.39568451,3.149261906,756.8080312,17.9876026,307.512177,470.6668971,28.60956845,15.02945463,45.93106829,4.670149376,7.99219437,2.889778836
Libreoffice,NSGA2_LR_AUC_average_churn_recall,9,399.5,116.981741,168.794107,12.98095705,195.9072554,136.2808038,95.90795704,4.945057165,190.7572134,332.0989858,378.4926549,125.9287836,8.72065111,116.9557999,52.13466753,21.03115443,663.1393156,174.1059881,1017.621769,998.3730475,13.59358711,328.2322362,347.3085672,34.73992688,22.87421371,1.706280404
Libreoffice,NSGA2_LR_AUC_average_churn_recall,10,399.5,7.99905869,47.11923612,4.496579542,42.79723948,23.80571375,29.18926813,0.337783767,160.1240039,289.3925449,320.5046,27.11487045,0.122140086,24.1749537,7.655529837,1.815907357,167.3087258,678.0894311,157.766027,219.8750377,0.168192634,1.992482393,1.743581789,8.22034617,4.723128434,1.307687925
